Accident ID,Location,Latitude,Longitude,Weather Condition,Road Condition,Vehicles Involved,Casualties,Cause,DayOfWeek,Month,Hour,Cluster
32333075,"New York, USA",-66.593538,22.316442,Snow,Wet,1,8,Drunk Driving,6,5,17,0
5bccf535,"Toronto, Canada",-40.859514,22.640758,Clear,Icy,1,3,Mechanical Failure,0,1,14,0
33666c67,"Berlin, Germany",-62.486431,-47.774334,Fog,Under Construction,5,6,Distracted Driving,1,11,4,2
858eef9e,"São Paulo, Brazil",17.159559,152.596097,Hail,Gravel,1,10,Drunk Driving,6,9,12,3
eeb04951,"Paris, France",63.995818,-159.438143,Clear,Dry,3,7,Reckless Driving,2,10,12,3
1db7ab91,"Sydney, Australia",-20.350387,160.628329,Snow,Dry,1,0,Speeding,5,8,8,0
a6096ace,"New York, USA",-22.396038,-85.316896,Snow,Icy,5,3,Drunk Driving,5,3,5,1
43138eec,"Mumbai, India",3.534182,-138.286329,Fog,Icy,3,5,Weather Conditions,0,11,10,3
f1b6e814,"Mumbai, India",-21.919688,-124.709878,Fog,Gravel,2,10,Mechanical Failure,3,10,6,2
84c341c6,"Tokyo, Japan",61.881671,157.894619,Rain,Gravel,4,2,Weather Conditions,4,10,17,1
c2651203,"London, UK",65.491629,107.589105,Rain,Icy,5,10,Distracted Driving,2,6,2,2
16bac27f,"New York, USA",-57.258756,-126.27126,Hail,Icy,4,7,Speeding,6,7,15,2
37c6c4a9,"Beijing, China",-55.40796,97.298605,Hail,Icy,3,7,Reckless Driving,6,6,23,0
bf023036,"Berlin, Germany",15.090995,-74.124001,Rain,Icy,2,4,Reckless Driving,5,6,11,3
3c7895e3,"Beijing, China",-76.277212,42.303331,Hail,Dry,5,3,Speeding,3,6,5,1
e72d1cf5,"Beijing, China",-2.020858,120.77658,Fog,Dry,4,7,Mechanical Failure,0,11,23,2
aa4e6464,"New York, USA",-70.376112,-45.300733,Hail,Wet,2,9,Drunk Driving,2,3,20,0
8dfdb70f,"London, UK",2.131448,98.8593,Storm,Icy,4,7,Mechanical Failure,5,9,6,2
de752b5e,"São Paulo, Brazil",-11.532914,118.877007,Clear,Dry,5,4,Reckless Driving,6,6,7,1
b8370c74,"London, UK",5.804818,129.324357,Storm,Snowy,5,5,Distracted Driving,6,12,7,1
6625614f,"Mumbai, India",34.304319,59.339816,Rain,Snowy,2,10,Reckless Driving,4,2,14,3
711fc466,"Tokyo, Japan",-22.553996,138.224377,Fog,Wet,5,6,Weather Conditions,0,8,4,2
9b2f8106,"Mumbai, India",44.539495,159.23528,Snow,Snowy,4,6,Distracted Driving,1,4,1,2
abb826f0,"Paris, France",-17.507656,140.222556,Rain,Icy,4,1,Weather Conditions,2,7,4,1
e281c08e,"Berlin, Germany",-20.243424,-45.103983,Rain,Snowy,4,4,Reckless Driving,3,5,23,1
a9d0cf19,"Tokyo, Japan",-43.350751,84.996923,Snow,Snowy,1,7,Reckless Driving,4,11,10,0
3c3e4300,"New York, USA",78.681556,31.476773,Clear,Under Construction,3,9,Reckless Driving,1,1,15,3
1a1180b0,"New York, USA",64.804801,103.972328,Fog,Gravel,3,8,Mechanical Failure,1,12,3,3
1293b087,"Mumbai, India",70.367528,-89.76046,Hail,Icy,2,8,Speeding,6,3,22,3
6b537dbb,"Berlin, Germany",19.094991,-111.565121,Hail,Snowy,3,5,Mechanical Failure,6,7,1,3
7b2ae6a0,"Paris, France",87.866753,154.298074,Hail,Icy,1,10,Weather Conditions,1,10,5,3
0c0d8849,"São Paulo, Brazil",41.031037,110.949287,Storm,Dry,2,6,Speeding,0,11,21,3
a0cd4c93,"Sydney, Australia",-58.030769,-31.404339,Storm,Under Construction,2,4,Mechanical Failure,1,11,20,0
5b0db5ef,"Toronto, Canada",0.224393,-159.053839,Fog,Snowy,5,5,Weather Conditions,0,11,16,1
4b80231c,"Toronto, Canada",88.36597,-11.441761,Hail,Snowy,2,6,Speeding,2,7,12,3
b8adaf03,"New York, USA",8.790048,-172.043763,Clear,Icy,1,7,Mechanical Failure,5,3,5,3
9f707f7c,"New York, USA",27.340188,-37.116412,Rain,Snowy,1,9,Distracted Driving,2,7,13,3
2aa0a683,"Paris, France",47.697633,27.750282,Storm,Snowy,1,3,Mechanical Failure,4,7,3,3
8edf9936,"Paris, France",24.596828,-58.533915,Hail,Wet,4,3,Speeding,4,12,4,1
c4914863,"Beijing, China",-50.691802,-50.930463,Hail,Icy,2,0,Mechanical Failure,2,5,16,0
2d754779,"Paris, France",35.23523,-87.093572,Storm,Gravel,4,9,Weather Conditions,1,3,14,2
ab0bf26a,"Tokyo, Japan",73.274437,147.323992,Rain,Under Construction,5,10,Reckless Driving,4,7,11,2
efdd392d,"Toronto, Canada",83.854403,-153.258055,Hail,Wet,4,7,Drunk Driving,0,3,11,2
7cc158be,"Tokyo, Japan",-89.775139,-152.005303,Rain,Dry,5,3,Mechanical Failure,2,7,20,1
5a49bde8,"London, UK",80.585201,-141.916596,Snow,Wet,2,10,Speeding,5,12,9,3
e3f78c1d,"Tokyo, Japan",48.022059,-173.779065,Hail,Snowy,1,8,Weather Conditions,5,12,19,3
dc113f24,"New York, USA",65.92936,42.129196,Clear,Wet,2,2,Reckless Driving,3,5,0,3
8541f92c,"São Paulo, Brazil",42.432502,-107.496412,Fog,Icy,3,7,Weather Conditions,2,12,4,3
80a90a04,"Berlin, Germany",-63.882884,-149.304063,Snow,Gravel,3,1,Speeding,6,10,1,0
740f4d46,"Berlin, Germany",66.953341,-46.007501,Storm,Snowy,1,8,Distracted Driving,3,10,21,3
7e1dd5d4,"São Paulo, Brazil",51.272201,37.596233,Hail,Snowy,2,8,Mechanical Failure,0,1,9,3
370c159a,"London, UK",34.023057,139.600976,Storm,Gravel,1,3,Drunk Driving,3,2,13,3
825dfc83,"Tokyo, Japan",59.328323,41.843209,Snow,Gravel,3,3,Reckless Driving,4,10,17,1
64cd8517,"London, UK",53.32785,68.244045,Fog,Icy,1,3,Mechanical Failure,5,5,22,3
5e31baae,"Sydney, Australia",-23.343973,-157.285425,Rain,Gravel,2,10,Drunk Driving,3,5,16,2
7ca5bd8b,"Mumbai, India",-49.585552,172.472245,Fog,Dry,4,8,Weather Conditions,0,2,18,2
bc4dcd1a,"Sydney, Australia",88.958166,6.391456,Storm,Dry,3,9,Distracted Driving,0,5,21,3
9866b47e,"Mumbai, India",61.105044,-152.109474,Hail,Wet,5,2,Reckless Driving,3,5,1,1
5672fd96,"Toronto, Canada",51.534533,122.768047,Fog,Under Construction,1,5,Weather Conditions,0,4,23,3
e892414b,"Mumbai, India",20.038202,110.300425,Fog,Snowy,2,1,Reckless Driving,1,4,8,3
1230c629,"New York, USA",5.576597,-133.666338,Snow,Dry,5,8,Weather Conditions,5,4,9,2
0dba6da5,"São Paulo, Brazil",-59.090985,-24.453005,Hail,Gravel,3,10,Reckless Driving,3,11,21,2
111796cc,"Paris, France",-38.755434,7.382182,Snow,Snowy,2,4,Mechanical Failure,6,9,13,0
16bf82ff,"Tokyo, Japan",42.79053,47.30902,Fog,Dry,1,2,Distracted Driving,4,3,8,3
6bd56b53,"São Paulo, Brazil",2.076774,-166.200311,Snow,Under Construction,4,8,Weather Conditions,5,4,23,2
240fe21b,"São Paulo, Brazil",-45.370831,10.286551,Snow,Dry,3,7,Distracted Driving,2,2,22,0
6358a009,"London, UK",68.279232,-15.639471,Rain,Under Construction,4,6,Speeding,3,5,16,2
28fd492a,"Sydney, Australia",19.622841,87.516278,Clear,Gravel,5,7,Distracted Driving,0,12,3,2
3fe71565,"New York, USA",33.41476,102.461224,Rain,Snowy,4,2,Distracted Driving,4,11,2,1
db3e72fc,"London, UK",-70.19704,1.942599,Hail,Under Construction,1,2,Drunk Driving,4,8,6,0
e950cfed,"Tokyo, Japan",-87.539052,124.622092,Fog,Under Construction,3,0,Reckless Driving,5,6,12,0
0212c806,"Toronto, Canada",71.435978,-41.106259,Clear,Gravel,5,8,Weather Conditions,3,12,23,2
d55754c3,"Mumbai, India",36.678175,-13.852731,Clear,Icy,4,4,Mechanical Failure,5,3,22,1
3ecf8102,"New York, USA",7.767595,-73.557168,Rain,Gravel,4,8,Drunk Driving,4,7,23,2
daf5aa6b,"São Paulo, Brazil",89.180336,-23.985006,Clear,Gravel,1,6,Speeding,4,8,19,3
98d1e2b0,"Tokyo, Japan",89.393762,-55.597151,Clear,Snowy,5,6,Weather Conditions,1,10,21,1
29c7be17,"Berlin, Germany",80.72364,-76.086311,Rain,Under Construction,2,3,Reckless Driving,2,2,18,3
73802912,"Paris, France",-38.89548,-53.126606,Fog,Dry,4,9,Drunk Driving,0,3,9,2
089c6f6f,"Sydney, Australia",-59.648389,66.962293,Clear,Wet,5,10,Weather Conditions,4,6,21,2
101e3a42,"London, UK",57.43992,-98.712111,Rain,Gravel,1,8,Mechanical Failure,3,3,10,3
a1a99d87,"Toronto, Canada",70.795418,-75.391622,Snow,Wet,5,0,Drunk Driving,4,3,2,1
f99faabe,"London, UK",-43.499877,5.606172,Storm,Under Construction,3,7,Weather Conditions,2,5,11,0
abffa545,"São Paulo, Brazil",52.680964,39.438935,Fog,Snowy,1,7,Speeding,6,9,10,3
4d245678,"Sydney, Australia",6.620879,151.94343,Hail,Wet,1,6,Mechanical Failure,6,2,15,3
af075e12,"Paris, France",43.86887,16.213381,Storm,Snowy,2,10,Mechanical Failure,3,11,2,3
993bb83f,"Berlin, Germany",81.548044,-126.337754,Hail,Icy,2,8,Speeding,2,1,17,3
401347ff,"Beijing, China",-81.557032,-120.118633,Snow,Icy,1,3,Mechanical Failure,0,10,1,0
0400b61a,"Toronto, Canada",89.800022,84.746185,Storm,Gravel,1,7,Mechanical Failure,6,6,8,3
82ea3d4b,"Beijing, China",-70.260321,-114.069526,Storm,Gravel,1,1,Drunk Driving,2,12,1,0
71b7ccc5,"New York, USA",-85.442543,-103.122266,Hail,Under Construction,5,10,Speeding,4,3,16,2
2bd24a9b,"New York, USA",53.413394,-174.679275,Storm,Dry,2,9,Speeding,5,5,15,3
c21ff117,"Mumbai, India",-63.822386,-158.602115,Fog,Wet,4,9,Drunk Driving,3,6,10,2
ea805df3,"Toronto, Canada",12.205643,82.347043,Snow,Wet,4,6,Speeding,4,9,11,2
ccff438f,"Paris, France",19.779925,-94.543592,Fog,Wet,1,4,Weather Conditions,2,7,1,3
169c01e9,"Tokyo, Japan",51.63156,-121.616667,Storm,Snowy,4,0,Drunk Driving,0,3,5,1
fe219f6d,"Sydney, Australia",-50.852214,5.023068,Rain,Snowy,4,1,Reckless Driving,1,12,3,1
3f25a93e,"São Paulo, Brazil",22.62666,-42.167586,Snow,Snowy,3,2,Reckless Driving,3,11,20,1
7d30ff27,"Toronto, Canada",31.758845,-58.705443,Rain,Wet,3,7,Drunk Driving,1,2,6,2
0519c96d,"Berlin, Germany",-80.730538,-12.067712,Snow,Under Construction,1,6,Distracted Driving,3,5,0,0
bf37bcfd,"Paris, France",-16.545287,176.907926,Clear,Icy,3,0,Drunk Driving,3,2,9,1
46b83a65,"Paris, France",-48.072513,-3.942919,Rain,Icy,5,2,Distracted Driving,6,4,7,1
039897c4,"Sydney, Australia",-23.27527,-37.072307,Fog,Gravel,3,7,Distracted Driving,1,6,12,2
75cb27bb,"Tokyo, Japan",-72.722933,72.205735,Snow,Dry,5,0,Weather Conditions,6,5,17,1
31af7762,"New York, USA",-13.023397,167.370163,Hail,Under Construction,5,7,Speeding,0,4,14,2
c8ed5499,"London, UK",36.667403,149.890448,Rain,Gravel,4,6,Drunk Driving,6,4,11,2
84cce960,"Tokyo, Japan",30.235793,-158.723491,Rain,Gravel,1,4,Mechanical Failure,5,3,14,3
eac84238,"London, UK",31.923583,28.377009,Fog,Snowy,3,3,Mechanical Failure,5,11,5,1
ce2bcb13,"Mumbai, India",-86.470763,152.550244,Storm,Dry,1,9,Distracted Driving,6,9,15,0
1ae65e3f,"São Paulo, Brazil",53.442083,134.709621,Hail,Wet,1,1,Weather Conditions,0,10,19,3
a57e80e2,"Beijing, China",-25.548982,-165.855214,Rain,Snowy,3,5,Weather Conditions,1,1,15,0
f702d046,"Sydney, Australia",60.994243,-52.163771,Fog,Under Construction,4,10,Distracted Driving,0,2,14,2
ac6fa383,"Beijing, China",73.439688,89.317446,Clear,Under Construction,4,4,Speeding,6,3,12,1
1bf13687,"New York, USA",-64.944034,-114.444453,Storm,Gravel,3,3,Reckless Driving,1,10,7,0
bd71070a,"São Paulo, Brazil",-26.52481,97.157892,Clear,Snowy,2,9,Distracted Driving,4,1,11,2
b1b87728,"Mumbai, India",-65.246474,-77.538752,Snow,Under Construction,1,0,Reckless Driving,1,4,16,0
ec12d39f,"Beijing, China",83.786801,4.06288,Storm,Wet,2,4,Drunk Driving,6,1,20,3
fb30c13b,"São Paulo, Brazil",3.67568,121.371154,Clear,Wet,2,3,Weather Conditions,3,6,17,0
59debdf9,"Tokyo, Japan",-73.444805,-45.929811,Hail,Dry,3,1,Distracted Driving,4,3,19,0
5e80406f,"São Paulo, Brazil",-26.955822,138.48068,Snow,Gravel,4,4,Mechanical Failure,2,7,12,1
f4bc382a,"Berlin, Germany",53.058686,138.030407,Storm,Dry,3,2,Reckless Driving,1,12,6,1
119c2f2c,"Mumbai, India",-53.308374,106.779455,Rain,Icy,1,9,Mechanical Failure,5,1,12,0
7b57aff9,"Paris, France",-42.471079,-3.845032,Rain,Under Construction,1,1,Drunk Driving,5,9,7,0
464f4620,"Mumbai, India",31.15509,-28.635153,Fog,Dry,3,2,Speeding,0,10,9,1
cee21d87,"Mumbai, India",-13.20316,95.991458,Snow,Gravel,4,8,Drunk Driving,2,1,5,2
7ff9b12e,"Mumbai, India",58.529319,-107.462924,Clear,Under Construction,1,1,Speeding,2,6,15,3
2c9e1d03,"Paris, France",37.342756,-60.6151,Hail,Under Construction,2,0,Drunk Driving,3,12,12,1
b553db5c,"Tokyo, Japan",80.896983,112.584976,Clear,Icy,3,10,Reckless Driving,5,7,16,3
28c9195b,"Sydney, Australia",-77.74994,9.119148,Hail,Snowy,1,1,Reckless Driving,3,10,18,0
a76f66b9,"Sydney, Australia",55.959387,102.3067,Hail,Icy,3,1,Weather Conditions,6,10,19,1
df155b4f,"London, UK",86.902721,136.860454,Fog,Wet,2,9,Mechanical Failure,6,12,14,3
f14fbb12,"São Paulo, Brazil",6.459995,-155.250658,Fog,Under Construction,3,9,Weather Conditions,6,6,14,2
d39da039,"Paris, France",-5.763022,168.742441,Snow,Dry,3,9,Speeding,0,4,20,2
d0ec6e43,"London, UK",34.376546,152.223027,Hail,Gravel,4,0,Drunk Driving,3,9,17,1
7a5c4131,"Mumbai, India",-46.484305,90.231688,Clear,Icy,5,3,Mechanical Failure,5,2,21,1
8c5cd407,"Sydney, Australia",-42.617088,-176.933944,Storm,Wet,3,5,Mechanical Failure,2,6,10,0
a6129d18,"São Paulo, Brazil",-41.125078,166.152937,Fog,Wet,3,10,Mechanical Failure,3,5,6,2
cd03105e,"Toronto, Canada",-55.253482,-20.549268,Storm,Under Construction,5,3,Drunk Driving,0,6,8,1
a2a91045,"Berlin, Germany",22.281166,-46.12144,Storm,Wet,3,5,Weather Conditions,4,9,11,3
291fcc3a,"Mumbai, India",25.884671,-2.42359,Clear,Dry,2,1,Reckless Driving,6,1,13,3
89e541d1,"Toronto, Canada",76.449464,-83.231948,Hail,Dry,1,1,Drunk Driving,3,8,23,3
bea57697,"Berlin, Germany",-66.533029,-6.128857,Clear,Snowy,4,10,Drunk Driving,3,12,12,2
30597601,"Toronto, Canada",25.660334,112.55992,Storm,Gravel,1,0,Speeding,5,8,18,3
27a971ed,"Tokyo, Japan",85.64277,49.378699,Storm,Snowy,5,8,Weather Conditions,3,2,5,2
88e2293b,"Toronto, Canada",-39.191186,-114.729832,Hail,Wet,3,0,Speeding,0,12,23,1
80f83c3a,"Berlin, Germany",11.628031,97.159763,Hail,Icy,1,8,Speeding,6,2,15,3
3fe0b464,"São Paulo, Brazil",21.239255,-34.827142,Clear,Wet,3,4,Distracted Driving,3,11,6,1
9c03e6ad,"São Paulo, Brazil",-10.272826,44.606985,Hail,Snowy,5,4,Mechanical Failure,2,6,18,1
39638ab7,"London, UK",-80.025521,-128.678675,Hail,Wet,4,8,Weather Conditions,4,2,6,2
934ea00a,"Mumbai, India",81.155044,-19.302741,Clear,Wet,2,7,Drunk Driving,4,8,13,3
9f48378c,"Berlin, Germany",-77.99907,104.591541,Storm,Wet,1,3,Mechanical Failure,3,5,1,0
0b26ea8b,"Sydney, Australia",-64.132399,-166.807914,Hail,Under Construction,4,6,Mechanical Failure,2,10,12,2
2cd1fead,"London, UK",-68.516658,101.364236,Rain,Under Construction,5,5,Speeding,2,4,23,2
166135bf,"Sydney, Australia",-82.380707,-155.13997,Fog,Icy,1,5,Mechanical Failure,4,9,9,0
80c7c52d,"Beijing, China",47.135917,76.335789,Rain,Gravel,5,10,Drunk Driving,5,12,8,2
aff36b25,"London, UK",17.081984,-52.928418,Snow,Wet,5,7,Speeding,0,4,12,2
2e08c3bb,"Tokyo, Japan",-43.450996,14.722666,Clear,Wet,2,9,Mechanical Failure,3,1,11,0
7b73d315,"New York, USA",-19.246588,-165.365953,Fog,Gravel,4,1,Reckless Driving,3,1,10,1
c7fd4d01,"Sydney, Australia",-44.668523,28.948458,Rain,Under Construction,2,2,Weather Conditions,5,9,10,0
50722706,"Berlin, Germany",-9.458885,4.486301,Storm,Under Construction,1,3,Speeding,5,10,20,0
d79c64ae,"New York, USA",77.65359,120.743353,Hail,Under Construction,3,8,Distracted Driving,4,6,20,3
9fdeb7a8,"Sydney, Australia",-50.816101,101.218695,Snow,Under Construction,4,2,Mechanical Failure,3,5,1,1
423cddd1,"Sydney, Australia",-50.723226,-131.344949,Fog,Snowy,2,8,Reckless Driving,0,12,18,0
1511d1d0,"Paris, France",13.487416,-31.094917,Snow,Under Construction,2,2,Speeding,2,1,10,0
d3751ca4,"Sydney, Australia",-34.298934,-121.070635,Rain,Wet,3,4,Speeding,5,5,7,0
9745978a,"Paris, France",75.62567,-23.33119,Fog,Wet,1,3,Distracted Driving,3,4,17,3
6e986d41,"Berlin, Germany",75.675301,72.086922,Storm,Under Construction,5,5,Reckless Driving,2,3,19,1
864c5f71,"Paris, France",-71.244207,59.33442,Fog,Dry,1,4,Speeding,3,6,1,0
47523526,"Sydney, Australia",-32.311048,18.780282,Fog,Wet,4,7,Speeding,3,9,22,2
9a97f6b6,"Paris, France",-81.523717,122.373375,Storm,Wet,5,4,Distracted Driving,4,9,6,1
f565be4d,"Mumbai, India",-89.580214,-21.356622,Snow,Icy,5,0,Mechanical Failure,4,9,22,1
0dcba104,"Paris, France",55.384924,-98.263088,Storm,Snowy,5,9,Distracted Driving,2,6,10,2
923a0cce,"Mumbai, India",0.262952,-72.734407,Fog,Under Construction,2,4,Reckless Driving,3,5,21,0
fd10c55d,"Tokyo, Japan",-11.358261,143.541624,Fog,Gravel,4,2,Weather Conditions,3,2,11,1
309c1683,"London, UK",-66.440758,179.507776,Storm,Under Construction,3,3,Speeding,4,6,12,0
be604d21,"Toronto, Canada",24.88936,-158.436604,Hail,Wet,4,6,Drunk Driving,2,5,16,2
eedaee2f,"Mumbai, India",48.869959,51.035593,Hail,Gravel,1,6,Speeding,2,9,11,3
321f2849,"Paris, France",20.535769,-10.746712,Storm,Dry,3,8,Reckless Driving,1,1,20,2
af8d7c02,"Beijing, China",78.069213,177.097763,Clear,Under Construction,2,2,Mechanical Failure,3,2,14,3
0d915a55,"Toronto, Canada",2.852496,-38.628528,Snow,Icy,3,0,Weather Conditions,3,2,3,1
6d204d29,"Sydney, Australia",8.305243,-105.45683,Storm,Snowy,1,4,Mechanical Failure,2,6,14,0
5027e249,"Sydney, Australia",61.500968,-161.161516,Snow,Icy,4,5,Drunk Driving,1,4,12,1
1b90ecc8,"Beijing, China",31.429314,-87.256604,Clear,Gravel,1,5,Speeding,3,11,17,3
afb4ec6a,"São Paulo, Brazil",-78.963844,108.019223,Clear,Under Construction,3,2,Drunk Driving,0,11,6,0
006b229d,"Paris, France",4.758211,105.85129,Clear,Dry,3,8,Distracted Driving,5,8,16,2
8c37d070,"Berlin, Germany",-35.437936,62.882285,Rain,Snowy,3,1,Distracted Driving,3,8,12,1
351edb85,"São Paulo, Brazil",-58.910407,178.611178,Fog,Wet,4,1,Drunk Driving,6,4,4,1
cd9d321f,"Tokyo, Japan",-13.169407,65.09676,Hail,Gravel,2,1,Drunk Driving,2,4,11,0
e9a000a4,"New York, USA",24.00551,-162.920622,Storm,Gravel,5,4,Drunk Driving,2,4,6,1
a444b82f,"Sydney, Australia",37.890441,8.762644,Clear,Dry,1,4,Mechanical Failure,4,10,10,3
0731eb13,"Tokyo, Japan",35.1199,72.693664,Hail,Wet,3,6,Weather Conditions,6,8,5,3
9cc59405,"New York, USA",-45.37757,-151.912158,Hail,Dry,4,5,Distracted Driving,6,4,18,2
0688d839,"London, UK",67.50105,94.926875,Storm,Snowy,5,10,Weather Conditions,0,2,5,2
a1203994,"Sydney, Australia",55.688124,-33.4867,Hail,Under Construction,3,8,Drunk Driving,6,10,18,3
fc3e8eb2,"New York, USA",66.77231,-12.020427,Snow,Wet,3,4,Distracted Driving,4,8,17,3
da70549e,"Toronto, Canada",-68.399323,19.981716,Storm,Gravel,5,9,Speeding,4,5,5,2
54f9ac61,"Tokyo, Japan",10.618161,-11.63618,Hail,Wet,3,6,Weather Conditions,1,12,6,2
506e3067,"Sydney, Australia",19.249923,98.911958,Snow,Dry,1,0,Weather Conditions,2,4,9,3
4b3a2004,"Mumbai, India",-76.306655,37.541163,Rain,Dry,3,3,Weather Conditions,4,8,3,0
d7c9bd50,"Paris, France",4.67085,160.038046,Snow,Icy,3,5,Speeding,2,1,4,2
fd561717,"Paris, France",-74.516409,-124.474597,Storm,Gravel,1,8,Distracted Driving,5,3,16,0
705af774,"São Paulo, Brazil",44.561927,174.939575,Storm,Wet,3,0,Reckless Driving,3,2,1,1
b93e54c7,"London, UK",87.370053,-157.755527,Clear,Dry,2,7,Distracted Driving,0,4,13,3
255efb1a,"London, UK",1.56102,-48.344498,Snow,Gravel,2,8,Reckless Driving,0,1,18,3
029391c9,"São Paulo, Brazil",48.225913,146.842332,Fog,Icy,1,8,Mechanical Failure,1,11,8,3
49127f2e,"Paris, France",55.743492,-39.357987,Rain,Icy,3,8,Drunk Driving,3,4,11,3
059aaa13,"Tokyo, Japan",11.108757,18.931553,Snow,Gravel,3,4,Mechanical Failure,4,9,20,1
6a9bc8b8,"São Paulo, Brazil",-69.775064,114.370671,Snow,Gravel,5,8,Reckless Driving,3,6,17,2
d5ae5e01,"Berlin, Germany",46.630176,-131.103049,Fog,Icy,4,10,Reckless Driving,1,8,15,2
ddb76b46,"Tokyo, Japan",-58.470144,-177.687988,Rain,Wet,4,6,Speeding,1,10,22,2
9c6da35a,"São Paulo, Brazil",-84.628212,-170.51629,Rain,Dry,4,6,Mechanical Failure,5,7,14,2
b9ccc699,"Paris, France",20.047501,53.961297,Rain,Snowy,2,4,Reckless Driving,4,7,12,3
0078615f,"Toronto, Canada",57.428378,48.521889,Snow,Icy,4,6,Distracted Driving,4,11,1,2
44ef1076,"London, UK",15.253669,32.427841,Fog,Gravel,1,2,Drunk Driving,5,4,20,3
607fc1b1,"Beijing, China",43.375822,23.586973,Fog,Wet,1,9,Reckless Driving,5,10,11,3
ac4c7e62,"Mumbai, India",-20.06506,-51.99451,Clear,Gravel,2,2,Distracted Driving,3,2,15,0
3c748c0f,"Sydney, Australia",-25.618757,159.253553,Rain,Under Construction,1,10,Distracted Driving,2,6,21,0
c046f9d4,"Toronto, Canada",-82.663154,-12.801319,Hail,Dry,4,0,Reckless Driving,0,3,20,1
80a40d89,"Tokyo, Japan",-88.893105,40.973955,Hail,Under Construction,4,7,Weather Conditions,3,7,23,2
